date,600000.SH,600009.SH,600016.SH,600028.SH,600030.SH,600031.SH,600036.SH,600050.SH,600104.SH,600196.SH,600276.SH,600309.SH,600519.SH,600547.SH,600570.SH
2016-01-04,17.8,28.27,9.03,4.78,17.45,6.0,17.28,5.8,19.73,21.9,47.2,16.92,210.02,19.68,54.87
2016-01-05,17.96,28.76,9.12,4.74,17.65,6.03,17.23,5.72,19.94,22.04,47.56,16.86,212.82,20.93,51.48
2016-01-06,18.1,29.5,9.15,4.9,17.93,6.26,17.31,5.76,20.18,22.32,48.52,17.35,212.18,21.89,52.14
2016-01-07,17.51,27.99,8.6,4.65,16.34,5.79,16.67,5.3,18.98,20.76,46.19,16.24,202.23,21.1,46.93
2016-01-08,17.49,28.03,8.7,4.77,16.83,6.0,16.81,5.46,19.51,20.99,47.65,16.71,204.63,22.65,46.42
2016-01-11,17.05,27.11,8.46,4.65,15.68,5.83,16.04,5.03,19.0,19.96,45.55,15.69,199.86,22.06,42.83
2016-01-12,17.45,26.82,8.47,4.68,15.89,5.89,15.98,5.03,18.98,20.03,45.04,15.75,196.79,19.85,43.34
2016-01-13,17.39,26.79,8.45,4.64,15.89,5.76,15.87,4.99,19.24,19.7,43.94,15.71,199.78,18.59,41.02
2016-01-14,17.92,26.87,8.49,4.64,16.29,5.81,15.89,5.01,19.84,20.14,44.32,16.2,204.82,18.76,43.55
2016-01-15,17.58,26.49,8.47,4.46,15.55,5.52,15.48,4.72,19.7,19.77,43.02,15.88,199.0,17.85,41.11
2016-01-18,17.68,26.59,8.49,4.44,15.65,5.48,15.42,4.72,19.49,19.15,43.38,15.89,199.43,17.94,43.08
2016-01-19,17.77,27.34,8.56,4.54,16.12,5.64,15.71,4.87,20.01,19.7,44.33,16.18,210.24,18.32,44.98
2016-01-20,17.25,27.24,8.58,4.49,15.82,5.52,15.52,4.76,19.24,19.21,44.32,15.75,202.32,18.89,43.57
2016-01-21,16.58,26.81,8.46,4.41,15.1,5.39,15.3,4.61,18.76,18.71,42.89,14.56,200.26,18.77,42.41
2016-01-22,17.02,27.19,8.5,4.47,15.28,5.42,15.28,4.66,18.9,18.45,43.32,14.85,202.74,18.37,43.84
2016-01-25,17.03,27.38,8.51,4.5,15.35,5.44,15.48,4.62,18.91,18.67,43.97,14.8,202.77,18.64,43.55
2016-01-26,16.66,26.64,8.36,4.28,13.93,5.01,14.86,4.16,17.99,17.66,42.91,13.79,199.01,18.8,39.2
2016-01-27,16.68,25.87,8.51,4.36,13.94,4.93,15.0,4.08,17.89,17.32,43.35,13.84,199.93,18.23,39.09
2016-01-28,16.58,25.24,8.53,4.32,13.7,4.69,14.72,3.88,17.81,17.48,42.57,13.31,196.64,16.44,37.97
2016-01-29,16.9,25.86,8.59,4.38,14.5,4.81,14.99,4.05,18.62,18.19,44.0,13.67,200.65,16.69,39.87
2016-02-01,16.5,25.22,8.5,4.3,14.23,4.63,14.72,3.96,18.59,18.14,44.67,13.21,201.29,17.38,38.89
2016-02-02,16.76,25.6,8.49,4.33,14.6,4.73,14.85,4.06,18.84,18.39,44.94,13.4,204.55,17.67,40.86
2016-02-03,16.61,25.56,8.44,4.27,14.47,4.74,14.67,4.07,18.39,18.17,46.0,13.11,203.66,18.11,40.54
2016-02-04,17.3,25.97,8.46,4.33,14.63,4.79,14.88,4.12,18.58,18.34,45.78,13.51,204.99,18.78,41.39
2016-02-05,18.38,26.12,8.43,4.34,14.18,4.76,14.86,4.04,18.39,18.14,45.26,13.71,203.87,20.66,40.6
2016-02-15,18.45,26.84,8.46,4.3,13.98,4.69,14.66,4.01,18.52,18.1,45.36,13.54,200.41,22.73,40.09
2016-02-16,,27.22,8.58,4.41,14.83,4.86,14.94,4.17,18.85,18.65,46.06,13.94,203.92,22.88,43.59
2016-02-17,,27.89,8.56,4.45,15.01,4.91,15.03,4.24,18.97,18.7,45.52,13.98,202.3,22.64,43.81
2016-02-18,,27.99,8.59,4.44,14.95,5.4,14.9,4.27,18.75,18.49,44.91,13.77,201.71,22.21,43.68
2016-02-19,,27.8,8.51,4.4,15.1,5.43,14.75,4.26,18.63,18.67,45.53,13.93,203.11,21.69,43.6
2016-02-22,,28.31,8.6,4.49,15.58,5.46,15.01,4.44,18.89,18.86,46.25,14.11,207.8,21.9,44.46
2016-02-23,,27.85,8.47,4.48,15.24,5.37,14.83,4.34,18.77,19.03,46.69,14.06,212.41,23.28,43.49
2016-02-24,,28.24,8.5,4.5,15.42,5.37,14.81,4.45,18.82,19.23,46.95,14.23,217.74,24.37,43.22
2016-02-25,,27.9,8.21,4.28,14.16,4.92,14.25,4.07,18.01,17.71,45.66,13.06,212.41,23.92,38.9
2016-02-26,,27.98,8.31,4.36,14.39,4.98,14.45,4.11,18.07,18.13,46.0,13.15,216.84,24.82,38.4
2016-02-29,,27.2,8.45,4.35,14.28,4.89,14.56,4.02,18.33,17.95,44.97,12.89,214.91,25.26,34.81
2016-03-01,,27.31,8.43,4.41,15.33,5.0,14.65,4.08,18.4,18.14,44.74,13.3,218.42,26.94,35.78
2016-03-02,,28.57,8.56,4.55,16.12,5.3,14.96,4.25,18.94,18.83,45.88,14.3,224.22,27.15,37.82
2016-03-03,,28.78,8.7,4.55,15.92,5.38,15.15,4.26,18.98,18.88,46.7,14.79,227.81,27.96,37.85
2016-03-04,,28.31,9.33,4.69,16.0,5.53,15.97,4.37,19.73,19.16,47.47,14.84,238.78,27.79,35.89
2016-03-07,,29.09,9.17,4.7,15.98,5.54,15.78,4.36,19.53,19.1,47.71,14.76,233.64,29.63,39.48
2016-03-08,,28.62,9.29,4.72,16.16,5.48,15.96,4.35,19.74,19.09,47.66,14.77,229.21,28.68,39.9
2016-03-09,,27.89,9.34,4.64,16.0,5.4,16.05,4.32,20.0,18.96,48.17,14.29,227.44,26.57,38.54
2016-03-10,,27.96,9.05,4.55,15.53,5.32,15.66,4.22,19.48,18.68,46.64,13.71,228.06,27.1,36.79
2016-03-11,16.97,27.98,9.12,4.58,15.95,5.28,15.76,4.24,19.54,18.49,46.57,13.7,228.05,27.81,37.09
2016-03-14,16.86,28.77,9.03,4.61,16.17,5.45,15.72,4.3,19.4,18.91,46.78,14.2,224.57,28.16,40.8
2016-03-15,17.02,28.82,9.17,4.6,16.01,5.41,15.86,4.3,19.41,19.06,47.94,14.63,231.92,26.1,40.98
