ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000300.SH,2016-01-04,3469.0662,3725.8561,3726.2446,3468.9485,3731.0047,-261.9385,-7.0206,115370674.0,145968206.095
000300.SH,2016-01-05,3478.7797,3382.1769,3518.217,3377.2799,3469.0662,9.7135,0.28,162116984.0,196017085.879
000300.SH,2016-01-06,3539.8082,3482.4064,3543.7394,3468.4666,3478.7797,61.0285,1.7543,145966144.0,160947198.402
000300.SH,2016-01-07,3294.3839,3481.1499,3481.1499,3284.7374,3539.8082,-245.4243,-6.9333,44102641.0,47130795.628
000300.SH,2016-01-08,3361.5632,3371.871,3418.8508,3237.9307,3294.3839,67.1793,2.0392,185959451.0,203498868.289
000300.SH,2016-01-11,3192.4499,3303.1246,3342.4807,3192.4499,3361.5632,-169.1133,-5.0308,174638387.0,184464050.18
000300.SH,2016-01-12,3215.7099,3214.8234,3242.2532,3174.5497,3192.4499,23.26,0.7286,128225796.0,142048909.71
000300.SH,2016-01-13,3155.8787,3240.4838,3257.2953,3155.8787,3215.7099,-59.8312,-1.8606,120666494.0,130886082.444
000300.SH,2016-01-14,3221.5714,3076.6445,3226.6576,3072.0389,3155.8787,65.6927,2.0816,134537671.0,144771580.596
000300.SH,2016-01-15,3118.7301,3200.888,3216.7977,3101.0522,3221.5714,-102.8413,-3.1923,124601779.0,131882737.252
000300.SH,2016-01-18,3130.7289,3068.2348,3165.6164,3066.727,3118.7301,11.9988,0.3847,101128386.0,109458287.764
000300.SH,2016-01-19,3223.1251,3132.7047,3227.908,3119.2163,3130.7289,92.3962,2.9513,127653893.0,142907686.296
000300.SH,2016-01-20,3174.3781,3204.2183,3225.9496,3154.4259,3223.1251,-48.747,-1.5124,130650504.0,143313337.192
000300.SH,2016-01-21,3081.3454,3136.3841,3202.5381,3081.3454,3174.3781,-93.0327,-2.9307,111189733.0,121856195.433
000300.SH,2016-01-22,3113.4626,3114.895,3132.1708,3053.9581,3081.3454,32.1172,1.0423,89951087.0,96885673.842
000300.SH,2016-01-25,3128.886,3129.0279,3149.3322,3105.1004,3113.4626,15.4234,0.4954,81540061.0,85777891.364
000300.SH,2016-01-26,2940.5085,3099.5957,3106.5302,2934.6469,3128.886,-188.3775,-6.0206,126933921.0,127250652.518
000300.SH,2016-01-27,2930.3519,2953.1826,2963.5438,2839.2899,2940.5085,-10.1566,-0.3454,132229366.0,126997670.778
000300.SH,2016-01-28,2853.7562,2909.3341,2941.8866,2841.8442,2930.3519,-76.5957,-2.6139,99222756.0,95663874.927
000300.SH,2016-01-29,2946.0902,2855.5983,2965.3093,2854.3712,2853.7562,92.334,3.2355,113304259.0,109462356.68
000300.SH,2016-02-01,2901.0477,2939.0401,2944.5172,2869.5614,2946.0902,-45.0425,-1.5289,86795342.0,82931453.498
000300.SH,2016-02-02,2961.3337,2901.5284,2972.4258,2901.5119,2901.0477,60.286,2.0781,88601963.0,88740230.428
000300.SH,2016-02-03,2948.6386,2931.2883,2954.71,2909.8982,2961.3337,-12.6951,-0.4287,77389000.0,74817092.259
000300.SH,2016-02-04,2984.7598,2960.3335,2999.2061,2960.2065,2948.6386,36.1212,1.225,91779724.0,91550346.872
000300.SH,2016-02-05,2963.7894,2982.0563,2988.3597,2962.8471,2984.7598,-20.9704,-0.7026,76850808.0,77443222.334
000300.SH,2016-02-15,2946.7066,2888.4277,2961.4926,2886.0183,2963.7894,-17.0828,-0.5764,72919434.0,71285049.141
000300.SH,2016-02-16,3037.0353,2962.1871,3042.0886,2962.1871,2946.7066,90.3287,3.0654,112579643.0,112300492.317
000300.SH,2016-02-17,3063.3199,3034.0902,3065.7845,3027.0458,3037.0353,26.2846,0.8655,128291607.0,122279340.234
000300.SH,2016-02-18,3053.6985,3079.5272,3093.5129,3049.8407,3063.3199,-9.6214,-0.3141,124401464.0,122618612.161
000300.SH,2016-02-19,3051.585,3047.9417,3065.9677,3032.6336,3053.6985,-2.1135,-0.0692,87338012.0,90849341.804
000300.SH,2016-02-22,3118.8675,3083.9325,3128.2069,3071.3289,3051.585,67.2825,2.2048,140946968.0,141684080.627
000300.SH,2016-02-23,3089.3632,3117.2027,3119.2209,3061.4294,3118.8675,-29.5043,-0.946,112567391.0,117476469.063
000300.SH,2016-02-24,3109.5454,3077.6062,3109.5454,3055.2511,3089.3632,20.1822,0.6533,111782650.0,112918607.549
000300.SH,2016-02-25,2918.7501,3104.4097,3104.4357,2905.4565,3109.5454,-190.7953,-6.1358,157829752.0,153493008.194
000300.SH,2016-02-26,2948.0306,2942.0954,2964.3851,2902.948,2918.7501,29.2805,1.0032,106949729.0,102531571.946
000300.SH,2016-02-29,2877.4666,2939.5802,2939.8745,2821.2149,2948.0306,-70.564,-2.3936,129341020.0,118440829.598
000300.SH,2016-03-01,2930.6937,2881.3353,2950.4361,2863.3228,2877.4666,53.2271,1.8498,116045918.0,110491037.808
000300.SH,2016-03-02,3051.3327,2933.9209,3054.7237,2933.1162,2930.6937,120.639,4.1164,175972347.0,164025161.471
000300.SH,2016-03-03,3058.4219,3050.3886,3078.4437,3040.2463,3051.3327,7.0892,0.2323,173105744.0,165509087.742
000300.SH,2016-03-04,3093.8895,3047.5371,3101.6556,3032.4235,3058.4219,35.4676,1.1597,219172534.0,205520475.543
000300.SH,2016-03-07,3104.8397,3108.9994,3130.9032,3083.5843,3093.8895,10.9502,0.3539,132462037.0,127790344.488
000300.SH,2016-03-08,3107.6727,3100.1492,3109.2499,3001.8285,3104.8397,2.833,0.0912,136235742.0,128758488.144
000300.SH,2016-03-09,3071.907,3045.9238,3072.9156,3020.1335,3107.6727,-35.7657,-1.1509,111466245.0,106298652.785
000300.SH,2016-03-10,3013.1457,3056.2104,3074.1602,3012.6908,3071.907,-58.7613,-1.9129,76072197.0,78180468.559
000300.SH,2016-03-11,3018.2844,2990.2135,3026.4368,2982.1722,3013.1457,5.1387,0.1705,73333564.0,74367296.548
000300.SH,2016-03-14,3065.6904,3039.5689,3106.8002,3033.9997,3018.2844,47.406,1.5706,117108655.0,123539094.703
000300.SH,2016-03-15,3074.7796,3061.3427,3077.0846,3028.5781,3065.6904,9.0892,0.2965,98311941.0,101302845.698
000300.SH,2016-03-16,3090.0328,3068.8664,3100.3518,3064.5209,3074.7796,15.2532,0.4961,124736448.0,126128854.001
000300.SH,2016-03-17,3124.2039,3096.8076,3147.8413,3077.5717,3090.0328,34.1711,1.1058,121661777.0,136603715.775
000300.SH,2016-03-18,3171.963,3136.223,3197.668,3130.102,3124.204,47.759,1.5287,197302564.0,210017810.346
000300.SH,2016-03-21,3249.4372,3203.2929,3267.7751,3198.3608,3171.963,77.4742,2.4425,233269464.0,256836636.273
000300.SH,2016-03-22,3225.7903,3231.6146,3249.6772,3218.7276,3249.4372,-23.6469,-0.7277,161020897.0,194211982.989
000300.SH,2016-03-23,3236.0924,3217.7288,3242.2466,3202.9759,3225.7903,10.3021,0.3194,125679286.0,155567074.583
000300.SH,2016-03-24,3181.8507,3211.496,3221.9061,3181.8128,3236.0924,-54.2417,-1.6761,133131122.0,162436036.415
000300.SH,2016-03-25,3197.8169,3176.8101,3204.4423,3174.3179,3181.8507,15.9662,0.5018,97395330.0,115195604.431
000300.SH,2016-03-28,3169.7283,3206.9532,3229.6237,3161.8782,3197.8169,-28.0886,-0.8784,103441933.0,123844044.128
000300.SH,2016-03-29,3135.4098,3171.3138,3178.0748,3122.7605,3169.7283,-34.3185,-1.0827,97294747.0,113844280.553
000300.SH,2016-03-30,3216.2753,3161.2886,3216.6755,3161.2886,3135.4098,80.8655,2.5791,117802512.0,140721774.451
000300.SH,2016-03-31,3218.0879,3229.1995,3241.9268,3208.6649,3216.2753,1.8126,0.0564,121552074.0,147267617.416
000300.SH,2016-04-01,3221.8948,3213.674,3222.6124,3165.8555,3218.0879,3.8069,0.1183,118122139.0,127050098.456
