ts_code,roe,trade_date,turnover_rate,pb,log_pb
000001.SZ,3.487,2016-03-31,0.3544,0.9427,-0.05900718058003242
000001.SZ,6.9604,2016-06-30,0.2476,0.903,-0.10203272556515161
000001.SZ,10.4073,2016-09-30,0.2106,0.9068,-0.09783336034876307
000001.SZ,12.4283,2016-12-31,0.2068,0.8765,-0.13181857462084792
000001.SZ,3.0319,2017-03-31,0.3742,0.8641,-0.14606677613478347
000001.SZ,6.0702,2017-06-30,0.2953,0.8586,-0.1524521231916768
000001.SZ,9.1144,2017-09-30,0.4033,0.9961,-0.0039076248310170765
000001.SZ,10.9324,2017-12-31,0.581,1.1524,0.14184672422823644
000001.SZ,2.9611,2018-03-31,0.4446,0.9261,-0.0767730588059137
000001.SZ,5.9405,2018-06-30,0.3933,0.7672,-0.2650077554129086
000001.SZ,8.9467,2018-09-30,1.229,0.9114,-0.0927734001523549
000001.SZ,10.7415,2018-12-31,0.3358,0.7481,-0.29021862010377786
000001.SZ,3.0331,2019-03-31,0.9723,1.0002,0.0001999800026662447
000001.SZ,6.2028,2019-06-30,0.2901,1.0355,0.03488440185350188
000001.SZ,8.9454,2019-09-30,0.5392,1.1684,0.15563529153144895
000001.SZ,10.1966,2019-12-31,0.363,1.1906,0.17445738173715278
000001.SZ,2.5695,2020-03-31,0.2645,0.9098,-0.09453048384623328
000001.SZ,4.1175,2020-06-30,0.4833,0.8929,-0.11328068645896629
000001.SZ,6.6685,2020-09-30,0.6272,1.046,0.044973365642731196
000001.SZ,8.5445,2020-12-31,0.4764,1.2994,0.2619026194642936
000001.SZ,2.7505,2021-03-31,0.4004,1.4519,0.37287304350750494
000001.SZ,4.7437,2021-06-30,0.2079,1.4503,0.37177043158406725
000001.SZ,7.7385,2021-09-30,0.41,1.1325,0.1244275783750521
000001.SZ,9.5674,2021-12-31,0.9022,1.0028,0.002796087302001188
000001.SZ,3.206,2022-03-31,0.5997,0.9169,-0.0867568639262819
000001.SZ,5.4704,2022-06-30,0.7981,0.8646,-0.1454883067486056
000001.SZ,8.9322,2022-09-30,0.2768,0.6715,-0.3982412630188448
000001.SZ,10.966,2022-12-31,0.4215,0.7185,-0.3305895734630574
000069.SZ,1.572,2016-03-31,0.3388,1.5938,0.46612110198151074
000069.SZ,4.1274,2016-06-30,0.2249,1.3898,0.32915985189808983
000069.SZ,7.5009,2016-09-30,0.2562,1.4933,0.4009884360810859
000069.SZ,16.8415,2016-12-31,0.2802,1.4368,0.36241841856579815
000069.SZ,1.7143,2017-03-31,0.2197,1.3869,0.32707104068015236
000069.SZ,3.9025,2017-06-30,1.0562,1.8857,0.6342991047507398
000069.SZ,10.317,2017-09-30,0.5739,1.4854,0.39568409625305906
000069.SZ,18.0508,2017-12-31,0.6509,1.4517,0.3727352834852455
000069.SZ,2.1175,2018-03-31,0.5419,1.4089,0.34280925807709395
000069.SZ,3.8033,2018-06-30,0.4273,1.1021,0.09721745071535928
000069.SZ,9.6044,2018-09-30,0.3818,1.0058,0.005783244755727361
000069.SZ,19.0496,2018-12-31,0.6857,0.9657,-0.034902052009264876
000069.SZ,1.9895,2019-03-31,1.2153,1.1709,0.15777268387254195
000069.SZ,4.7226,2019-06-30,0.2324,0.9677,-0.032833157095240206
000069.SZ,9.8759,2019-09-30,0.2778,0.9632,-0.037494204427580516
000069.SZ,19.3176,2019-12-31,0.6791,1.0251,0.024790168807218686
000069.SZ,1.2309,2020-03-31,0.6666,0.8409,-0.1732825321432848
000069.SZ,3.1527,2020-06-30,0.5108,0.7622,-0.2715462905423772
000069.SZ,7.552,2020-09-30,0.4091,0.8303,-0.18596819771415207
000069.SZ,17.255,2020-12-31,1.0498,0.8267,-0.19031340672350713
000069.SZ,1.1452,2021-03-31,1.9204,1.0771,0.07427224437458742
000069.SZ,2.0152,2021-06-30,0.6219,0.8047,-0.21728574183004995
000069.SZ,4.2961,2021-09-30,1.0933,0.8113,-0.2091173795811177
000069.SZ,4.7608,2021-12-31,0.7014,0.7433,-0.2966555472508893
000069.SZ,0.2167,2022-03-31,2.9679,0.7729,-0.2576056048693117
000069.SZ,0.1307,2022-06-30,2.6687,0.6861,-0.3767318892852919
000069.SZ,0.1564,2022-09-30,0.4484,0.5119,-0.6696259855185994
000069.SZ,-14.5344,2022-12-31,0.7064,0.5686,-0.5645780797652377
000157.SZ,-1.6668,2016-03-31,0.6838,0.8809,-0.12681116686638705
000157.SZ,-2.1646,2016-06-30,0.393,0.8055,-0.216292076365108
000157.SZ,-2.0754,2016-09-30,0.4448,0.95,-0.05129329438755058
000157.SZ,-2.4331,2016-12-31,0.2995,0.9309,-0.0716034188596929
000157.SZ,0.2293,2017-03-31,1.0227,0.9951,-0.004912044361020641
000157.SZ,3.0596,2017-06-30,0.5022,0.9312,-0.07128120200496364
000157.SZ,3.4595,2017-09-30,0.3199,0.9237,-0.0793679353835727
000157.SZ,3.5808,2017-12-31,0.4212,0.924,-0.07904320734045284
000157.SZ,0.9961,2018-03-31,0.2443,0.8732,-0.13559065430634826
000157.SZ,2.3182,2018-06-30,0.2286,0.8415,-0.17256926535127634
000157.SZ,3.471,2018-09-30,0.2208,0.7881,-0.23813029362253316
000157.SZ,5.3309,2018-12-31,0.1759,0.7408,-0.30002459565016737
000157.SZ,2.5903,2019-03-31,0.5552,0.9322,-0.07020789504349645
000157.SZ,6.8508,2019-06-30,1.2366,1.2003,0.18257152554916192
000157.SZ,9.1518,2019-09-30,0.3463,1.2095,0.1902070510679449
000157.SZ,11.3449,2019-12-31,0.644,1.3886,0.32829604533703594
000157.SZ,2.6003,2020-03-31,1.1803,1.1528,0.14219376570317532
000157.SZ,9.6623,2020-06-30,0.8022,1.2673,0.2368886531058815
000157.SZ,13.3524,2020-09-30,0.7672,1.4488,0.37073562758706663
000157.SZ,17.0095,2020-12-31,1.962,1.7568,0.5634939723330744
000157.SZ,4.7299,2021-03-31,2.0781,2.171,0.7751878908961547
000157.SZ,9.4989,2021-06-30,1.0814,1.4469,0.3694233367608989
000157.SZ,11.1591,2021-09-30,1.1453,1.2924,0.25650095496820613
000157.SZ,12.1024,2021-12-31,0.3728,1.1047,0.0995738048960924
000157.SZ,1.5812,2022-03-31,0.4285,1.0133,0.0132123314721349
000157.SZ,3.0673,2022-06-30,0.6125,0.9253,-0.07763726972715247
000157.SZ,3.917,2022-09-30,0.1905,0.874,-0.1346749033266016
000157.SZ,4.1324,2022-12-31,0.1841,0.8765,-0.13181857462084792
000725.SZ,0.1397,2016-03-31,0.948,1.1542,0.14340746329472892
000725.SZ,-0.6704,2016-06-30,0.6073,1.0518,0.050502982173106836
000725.SZ,0.1819,2016-09-30,0.3948,1.0876,0.08397343377617851
000725.SZ,2.4107,2016-12-31,0.991,1.3033,0.26489950955453695
000725.SZ,3.0224,2017-03-31,1.0046,1.5676,0.4495457873433394
000725.SZ,5.3611,2017-06-30,2.2295,1.806,0.5911144549947936
000725.SZ,7.9737,2017-09-30,5.3801,1.8953,0.6393771373501174
000725.SZ,9.2565,2017-12-31,1.6108,2.4065,0.878173409761027
000725.SZ,2.3552,2018-03-31,1.5743,2.2111,0.7934901292559732
000725.SZ,3.4946,2018-06-30,1.6211,1.4514,0.37252860786189956
000725.SZ,3.9607,2018-09-30,0.7287,1.2826,0.24888926773262546
000725.SZ,4.0255,2018-12-31,0.5095,1.0664,0.06428848988236188
000725.SZ,1.2164,2019-03-31,2.6146,1.5807,0.45786778690121266
000725.SZ,1.9358,2019-06-30,0.8387,1.3914,0.3303104345074038
000725.SZ,2.146,2019-09-30,0.7942,1.5082,0.4109168867864096
000725.SZ,2.121,2019-12-31,1.8457,1.8209,0.5993308843556605
000725.SZ,0.5821,2020-03-31,1.8152,1.488,0.3974329364109001
000725.SZ,1.1543,2020-06-30,2.4145,1.8556,0.6182080938954515
000725.SZ,2.5242,2020-09-30,1.4383,1.9533,0.669520249928789
