ts_code,trade_date,turnover_rate,pb
000001.SZ,2016-01-04,0.4774,1.0317
000001.SZ,2016-01-05,0.5619,1.0381
000001.SZ,2016-01-06,0.4369,1.0499
000001.SZ,2016-01-07,0.1481,0.9962
000001.SZ,2016-01-08,0.6333,1.0126
000001.SZ,2016-01-11,0.6201,0.9798
000001.SZ,2016-01-12,0.4758,0.9843
000001.SZ,2016-01-13,0.3318,0.9752
000001.SZ,2016-01-14,0.5645,0.9807
000001.SZ,2016-01-15,0.3797,0.9525
000001.SZ,2016-01-18,0.3567,0.9479
000001.SZ,2016-01-19,0.4245,0.9752
000001.SZ,2016-01-20,0.5115,0.9598
000001.SZ,2016-01-21,0.5135,0.9397
000001.SZ,2016-01-22,0.3954,0.947
000001.SZ,2016-01-25,0.3189,0.9443
000001.SZ,2016-01-26,0.5489,0.8988
000001.SZ,2016-01-27,0.4821,0.8997
000001.SZ,2016-01-28,0.2563,0.8824
000001.SZ,2016-01-29,0.4612,0.9106
000001.SZ,2016-02-01,0.3539,0.8924
000001.SZ,2016-02-02,0.3127,0.906
000001.SZ,2016-02-03,0.2326,0.8969
000001.SZ,2016-02-04,0.3161,0.906
000001.SZ,2016-02-05,0.2295,0.9033
000001.SZ,2016-02-15,0.2359,0.8915
000001.SZ,2016-02-16,0.3629,0.9115
000001.SZ,2016-02-17,0.4957,0.9243
000001.SZ,2016-02-18,0.3441,0.9188
000001.SZ,2016-02-19,0.2702,0.9142
000001.SZ,2016-02-22,0.5233,0.937
000001.SZ,2016-02-23,0.3608,0.9215
000001.SZ,2016-02-24,0.2542,0.9243
000001.SZ,2016-02-25,0.527,0.8805
000001.SZ,2016-02-26,0.3322,0.8915
000001.SZ,2016-02-29,0.4803,0.8705
000001.SZ,2016-03-01,0.3202,0.8833
000001.SZ,2016-03-02,0.5732,0.9197
000001.SZ,2016-03-03,0.4686,0.9206
000001.SZ,2016-03-04,1.1701,0.947
000001.SZ,2016-03-07,0.5137,0.9416
000001.SZ,2016-03-08,0.5449,0.9361
000001.SZ,2016-03-09,0.2761,0.9261
000001.SZ,2016-03-10,0.4016,0.8993
000001.SZ,2016-03-11,0.3251,0.9002
000001.SZ,2016-03-14,0.555,0.909
000001.SZ,2016-03-15,0.354,0.9143
000001.SZ,2016-03-16,0.5633,0.917
000001.SZ,2016-03-17,0.5176,0.9232
000001.SZ,2016-03-18,0.6754,0.9338
000001.SZ,2016-03-21,0.7798,0.9569
000001.SZ,2016-03-22,0.5299,0.9498
000001.SZ,2016-03-23,0.3645,0.948
000001.SZ,2016-03-24,0.3155,0.9321
000001.SZ,2016-03-25,0.2008,0.9383
000001.SZ,2016-03-28,0.3038,0.9285
000001.SZ,2016-03-29,0.2697,0.9241
000001.SZ,2016-03-30,0.4572,0.948
000001.SZ,2016-03-31,0.3544,0.9427
000001.SZ,2016-04-01,0.3129,0.9445
000001.SZ,2016-04-05,0.5018,0.948
000001.SZ,2016-04-06,0.3687,0.9498
000001.SZ,2016-04-07,0.32,0.9383
000001.SZ,2016-04-08,0.319,0.9365
000001.SZ,2016-04-11,0.6662,0.9498
000001.SZ,2016-04-12,0.253,0.9453
000001.SZ,2016-04-13,0.7258,0.9578
000001.SZ,2016-04-14,0.2742,0.9604
000001.SZ,2016-04-15,0.4212,0.964
000001.SZ,2016-04-18,0.2971,0.9507
000001.SZ,2016-04-19,0.1849,0.9542
000001.SZ,2016-04-20,0.5139,0.9321
000001.SZ,2016-04-21,0.4734,0.8972
000001.SZ,2016-04-22,0.3047,0.9006
000001.SZ,2016-04-25,0.2959,0.8963
000001.SZ,2016-04-26,0.2471,0.904
000001.SZ,2016-04-27,0.2029,0.9023
000001.SZ,2016-04-28,0.3875,0.91
000001.SZ,2016-04-29,0.3431,0.9023
000001.SZ,2016-05-03,0.4144,0.9117
000001.SZ,2016-05-04,0.3494,0.9151
000001.SZ,2016-05-05,0.2029,0.9151
000001.SZ,2016-05-06,0.2936,0.898
000001.SZ,2016-05-09,0.3483,0.8835
000001.SZ,2016-05-10,0.2479,0.8776
000001.SZ,2016-05-11,0.2773,0.8852
000001.SZ,2016-05-12,0.2761,0.8861
000001.SZ,2016-05-13,0.1561,0.8835
000001.SZ,2016-05-16,0.1823,0.8844
000001.SZ,2016-05-17,0.2122,0.8793
000001.SZ,2016-05-18,0.4525,0.8793
000001.SZ,2016-05-19,0.1447,0.875
000001.SZ,2016-05-20,0.1751,0.8793
000001.SZ,2016-05-23,0.2654,0.8776
000001.SZ,2016-05-24,0.2127,0.8716
000001.SZ,2016-05-25,0.1675,0.8733
000001.SZ,2016-05-26,0.2144,0.8724
000001.SZ,2016-05-27,0.1827,0.8767
000001.SZ,2016-05-30,0.3124,0.8776
000001.SZ,2016-05-31,0.7763,0.9006
