,tic,date,open,high,low,close,volume,day
0,600000.SH,2016-01-04,18.28,18.28,17.55,17.8,422406.1,0
0,600009.SH,2016-01-04,29.53,29.54,28.17,28.27,59462.81,0
0,600016.SH,2016-01-04,9.48,9.55,9.01,9.03,838676.59,0
0,600028.SH,2016-01-04,4.97,5.0,4.75,4.78,1470782.24,0
0,600030.SH,2016-01-04,19.29,19.29,17.42,17.45,1960583.73,0
0,600031.SH,2016-01-04,6.45,6.49,5.98,6.0,617134.91,0
0,600036.SH,2016-01-04,17.91,17.95,17.16,17.28,373405.69,0
0,600050.SH,2016-01-04,6.18,6.2,5.76,5.8,938569.54,0
0,600104.SH,2016-01-04,21.1,21.2,19.67,19.73,127924.6,0
0,600196.SH,2016-01-04,23.49,23.5,21.83,21.9,152607.25,0
0,600276.SH,2016-01-04,49.1,49.1,47.08,47.2,86744.76,0
0,600309.SH,2016-01-04,17.84,17.84,16.8,16.92,58483.0,0
0,600519.SH,2016-01-04,218.0,218.0,209.99,210.02,17349.69,0
0,600547.SH,2016-01-04,20.92,21.46,19.0,19.68,234801.53,0
0,600570.SH,2016-01-04,60.6,60.84,54.87,54.87,260040.26,0
1,600000.SH,2016-01-05,17.51,18.06,17.4,17.96,580547.93,1
1,600009.SH,2016-01-05,27.52,29.2,27.52,28.76,89726.16,1
1,600016.SH,2016-01-05,8.95,9.28,8.9,9.12,1094906.59,1
1,600028.SH,2016-01-05,4.74,4.83,4.7,4.74,2252446.21,1
1,600030.SH,2016-01-05,16.8,17.98,16.63,17.65,2333291.55,1
1,600031.SH,2016-01-05,5.95,6.14,5.8,6.03,686224.3,1
1,600036.SH,2016-01-05,17.17,17.55,17.0,17.23,515777.96,1
1,600050.SH,2016-01-05,5.68,5.87,5.51,5.72,1572502.38,1
1,600104.SH,2016-01-05,19.5,20.38,19.4,19.94,252884.87,1
1,600196.SH,2016-01-05,21.49,22.26,21.31,22.04,195173.55,1
1,600276.SH,2016-01-05,46.5,48.0,46.45,47.56,95328.66,1
1,600309.SH,2016-01-05,16.69,17.15,16.5,16.86,138694.97,1
1,600519.SH,2016-01-05,210.0,213.97,207.51,212.82,31908.91,1
1,600547.SH,2016-01-05,20.0,20.95,19.7,20.93,331259.52,1
1,600570.SH,2016-01-05,49.5,52.99,49.49,51.48,294243.07,1
2,600000.SH,2016-01-06,17.9,18.14,17.69,18.1,467726.53,2
2,600009.SH,2016-01-06,28.9,29.59,28.8,29.5,100796.97,2
2,600016.SH,2016-01-06,9.12,9.19,9.02,9.15,809815.64,2
2,600028.SH,2016-01-06,4.75,4.93,4.72,4.9,2329014.73,2
2,600030.SH,2016-01-06,17.55,18.15,17.2,17.93,1972783.38,2
2,600031.SH,2016-01-06,6.06,6.27,6.01,6.26,546352.45,2
2,600036.SH,2016-01-06,17.2,17.33,17.06,17.31,319826.91,2
2,600050.SH,2016-01-06,5.73,5.86,5.71,5.76,1600649.51,2
2,600104.SH,2016-01-06,19.94,20.22,19.83,20.18,160970.65,2
2,600196.SH,2016-01-06,22.15,22.41,22.04,22.32,104553.62,2
2,600276.SH,2016-01-06,47.56,48.88,47.4,48.52,86670.45,2
2,600309.SH,2016-01-06,17.0,17.37,16.86,17.35,79773.32,2
2,600519.SH,2016-01-06,212.78,213.66,209.3,212.18,23760.9,2
2,600547.SH,2016-01-06,20.51,22.33,20.4,21.89,481691.02,2
2,600570.SH,2016-01-06,51.21,52.63,49.95,52.14,252908.34,2
3,600000.SH,2016-01-07,17.8,17.9,17.4,17.51,113504.79,3
3,600009.SH,2016-01-07,29.19,29.19,27.83,27.99,19019.0,3
3,600016.SH,2016-01-07,9.03,9.08,8.54,8.6,249640.2,3
3,600028.SH,2016-01-07,4.83,4.84,4.59,4.65,551488.0,3
3,600030.SH,2016-01-07,17.48,17.6,16.2,16.34,679037.33,3
3,600031.SH,2016-01-07,6.16,6.18,5.76,5.79,158925.0,3
3,600036.SH,2016-01-07,17.15,17.15,16.51,16.67,199815.33,3
3,600050.SH,2016-01-07,5.73,5.73,5.26,5.3,288971.0,3
3,600104.SH,2016-01-07,19.85,19.91,18.86,18.98,37398.51,3
3,600196.SH,2016-01-07,22.02,22.02,20.59,20.76,33782.0,3
3,600276.SH,2016-01-07,48.25,48.25,45.65,46.19,15488.0,3
3,600309.SH,2016-01-07,17.09,17.15,16.16,16.24,33548.0,3
3,600519.SH,2016-01-07,208.99,208.99,200.03,202.23,8148.68,3
3,600547.SH,2016-01-07,22.11,22.68,21.0,21.1,188669.59,3
3,600570.SH,2016-01-07,50.57,50.57,46.93,46.93,70759.99,3
4,600000.SH,2016-01-08,17.74,17.88,16.91,17.49,719182.96,4
4,600009.SH,2016-01-08,28.58,28.81,27.61,28.03,166619.66,4
4,600016.SH,2016-01-08,8.88,8.93,8.55,8.7,1097998.52,4
4,600028.SH,2016-01-08,4.75,4.83,4.65,4.77,2222106.97,4
4,600030.SH,2016-01-08,16.84,17.44,16.0,16.83,2979253.28,4
4,600031.SH,2016-01-08,5.89,6.11,5.75,6.0,694599.08,4
4,600036.SH,2016-01-08,16.8,17.06,16.61,16.81,608227.77,4
4,600050.SH,2016-01-08,5.42,5.58,5.13,5.46,1463062.89,4
4,600104.SH,2016-01-08,19.4,19.8,19.16,19.51,192357.16,4
4,600196.SH,2016-01-08,21.3,21.43,20.4,20.99,171438.23,4
4,600276.SH,2016-01-08,47.3,47.99,46.0,47.65,112455.96,4
4,600309.SH,2016-01-08,16.79,16.96,16.0,16.71,101669.56,4
4,600519.SH,2016-01-08,204.17,208.0,200.0,204.63,44510.09,4
4,600547.SH,2016-01-08,22.24,23.0,21.46,22.65,647716.76,4
4,600570.SH,2016-01-08,47.93,48.75,42.24,46.42,304600.14,4
5,600000.SH,2016-01-11,17.21,17.45,16.96,17.05,901771.35,0
5,600009.SH,2016-01-11,28.0,28.08,26.81,27.11,153196.62,0
5,600016.SH,2016-01-11,8.55,8.76,8.4,8.46,1298944.02,0
5,600028.SH,2016-01-11,4.72,4.79,4.64,4.65,1881430.97,0
5,600030.SH,2016-01-11,16.3,16.48,15.51,15.68,2434620.06,0
5,600031.SH,2016-01-11,5.93,6.11,5.82,5.83,535135.45,0
5,600036.SH,2016-01-11,16.68,16.68,16.0,16.04,654912.42,0
5,600050.SH,2016-01-11,5.39,5.42,5.0,5.03,1397033.38,0
5,600104.SH,2016-01-11,19.4,19.53,18.85,19.0,175022.84,0
5,600196.SH,2016-01-11,20.5,20.84,19.94,19.96,145034.95,0
5,600276.SH,2016-01-11,47.65,47.97,45.52,45.55,69613.8,0
5,600309.SH,2016-01-11,16.58,16.95,15.42,15.69,101938.86,0
5,600519.SH,2016-01-11,203.16,203.79,199.4,199.86,29702.58,0
5,600547.SH,2016-01-11,22.0,23.42,21.88,22.06,531772.86,0
5,600570.SH,2016-01-11,44.31,46.39,42.5,42.83,266838.6,0
6,600000.SH,2016-01-12,17.17,17.52,17.08,17.45,553744.54,1
6,600009.SH,2016-01-12,27.36,27.57,26.8,26.82,131626.94,1
6,600016.SH,2016-01-12,8.55,8.6,8.43,8.47,738394.66,1
6,600028.SH,2016-01-12,4.65,4.74,4.61,4.68,1317539.53,1
6,600030.SH,2016-01-12,15.92,16.34,15.7,15.89,1888319.57,1
6,600031.SH,2016-01-12,5.84,5.95,5.72,5.89,484486.85,1
6,600036.SH,2016-01-12,16.03,16.25,15.88,15.98,468282.22,1
6,600050.SH,2016-01-12,5.09,5.12,4.96,5.03,967269.33,1
6,600104.SH,2016-01-12,19.13,19.24,18.8,18.98,214543.02,1
6,600196.SH,2016-01-12,20.15,20.27,19.8,20.03,142241.4,1
6,600276.SH,2016-01-12,45.99,46.26,43.9,45.04,89419.98,1
6,600309.SH,2016-01-12,15.7,15.95,15.44,15.75,109892.21,1
6,600519.SH,2016-01-12,201.1,202.1,196.0,196.79,40287.23,1
6,600547.SH,2016-01-12,21.25,21.29,19.85,19.85,481653.81,1
6,600570.SH,2016-01-12,42.9,44.0,41.64,43.34,255960.71,1
7,600000.SH,2016-01-13,17.57,17.9,17.35,17.39,478693.12,2
7,600009.SH,2016-01-13,27.42,27.94,26.6,26.79,123763.29,2
7,600016.SH,2016-01-13,8.63,8.65,8.39,8.45,697651.93,2
7,600028.SH,2016-01-13,4.7,4.74,4.63,4.64,1269226.72,2
7,600030.SH,2016-01-13,16.06,16.3,15.75,15.89,2391723.46,2
7,600031.SH,2016-01-13,5.89,5.94,5.75,5.76,362516.25,2
7,600036.SH,2016-01-13,16.21,16.21,15.78,15.87,573435.96,2
7,600050.SH,2016-01-13,5.08,5.25,4.97,4.99,1400745.92,2
7,600104.SH,2016-01-13,19.15,19.6,19.02,19.24,180519.08,2
7,600196.SH,2016-01-13,20.21,20.4,19.56,19.7,131075.93,2
7,600276.SH,2016-01-13,45.1,45.8,43.9,43.94,66595.13,2
7,600309.SH,2016-01-13,15.85,15.93,15.6,15.71,72526.31,2
7,600519.SH,2016-01-13,199.1,206.0,198.6,199.78,29201.98,2
7,600547.SH,2016-01-13,19.51,19.55,18.56,18.59,345613.86,2
7,600570.SH,2016-01-13,43.6,43.78,40.92,41.02,192086.41,2
8,600000.SH,2016-01-14,17.0,17.99,16.89,17.92,548388.33,3
8,600009.SH,2016-01-14,26.55,27.05,26.0,26.87,122526.75,3
8,600016.SH,2016-01-14,8.29,8.53,8.25,8.49,649121.67,3
8,600028.SH,2016-01-14,4.6,4.66,4.53,4.64,1460281.16,3
8,600030.SH,2016-01-14,15.5,16.37,15.28,16.29,2060976.5,3
8,600031.SH,2016-01-14,5.67,5.82,5.5,5.81,468929.81,3
8,600036.SH,2016-01-14,15.55,15.96,15.52,15.89,429630.31,3
8,600050.SH,2016-01-14,4.8,5.06,4.75,5.01,1421675.23,3
8,600104.SH,2016-01-14,19.01,19.87,18.91,19.84,236943.2,3
8,600196.SH,2016-01-14,19.3,20.24,19.04,20.14,129423.4,3
8,600276.SH,2016-01-14,43.11,44.88,42.5,44.32,93403.18,3
8,600309.SH,2016-01-14,15.42,16.46,15.25,16.2,67908.7,3
8,600519.SH,2016-01-14,197.11,205.98,195.51,204.82,34776.06,3
8,600547.SH,2016-01-14,18.15,18.95,18.0,18.76,232542.38,3
8,600570.SH,2016-01-14,39.21,43.99,38.96,43.55,325655.01,3
9,600000.SH,2016-01-15,17.8,18.15,17.52,17.58,467231.39,4
9,600009.SH,2016-01-15,26.87,27.08,26.2,26.49,56701.36,4
9,600016.SH,2016-01-15,8.5,8.53,8.27,8.47,795252.78,4
9,600028.SH,2016-01-15,4.61,4.63,4.45,4.46,1646229.45,4
9,600030.SH,2016-01-15,16.08,16.2,15.29,15.55,2162248.71,4
9,600031.SH,2016-01-15,5.79,5.79,5.49,5.52,479450.08,4
9,600036.SH,2016-01-15,15.87,15.92,15.45,15.48,344215.64,4
9,600050.SH,2016-01-15,4.98,4.98,4.67,4.72,1476873.45,4
9,600104.SH,2016-01-15,19.65,20.08,19.49,19.7,128189.27,4
9,600196.SH,2016-01-15,20.01,20.17,19.6,19.77,113007.68,4
9,600276.SH,2016-01-15,44.18,44.48,42.68,43.02,61851.39,4
9,600309.SH,2016-01-15,16.1,16.15,15.65,15.88,56988.98,4
9,600519.SH,2016-01-15,204.75,206.18,198.0,199.0,26681.19,4
9,600547.SH,2016-01-15,18.2,18.3,17.6,17.85,221007.37,4
9,600570.SH,2016-01-15,42.98,43.43,40.74,41.11,230459.07,4
