LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
CHN,BCI,AMPLITUD,LTRENDIDX,M,Jan-16,97.90074674,
CHN,BCI,AMPLITUD,LTRENDIDX,M,Feb-16,97.94939947,
CHN,BCI,AMPLITUD,LTRENDIDX,M,Mar-16,98.22502838,
CHN,BCI,AMPLITUD,LTRENDIDX,M,Apr-16,98.38660609,
CHN,BCI,AMPLITUD,LTRENDIDX,M,May-16,98.42344975,
CHN,BCI,AMPLITUD,LTRENDIDX,M,Jun-16,98.40680018,
CHN,BCI,AMPLITUD,LTRENDIDX,M,Jul-16,98.45297817,
CHN,BCI,AMPLITUD,LTRENDIDX,M,Aug-16,98.65319089,
CHN,BCI,AMPLITUD,LTRENDIDX,M,Sep-16,98.94051075,
CHN,BCI,AMPLITUD,LTRENDIDX,M,Oct-16,99.32387852,
CHN,BCI,AMPLITUD,LTRENDIDX,M,Nov-16,99.60078357,
CHN,BCI,AMPLITUD,LTRENDIDX,M,Dec-16,99.66864157,
CHN,BCI,AMPLITUD,LTRENDIDX,M,Jan-17,99.68210535,
CHN,BCI,AMPLITUD,LTRENDIDX,M,Feb-17,99.72467738,
CHN,BCI,AMPLITUD,LTRENDIDX,M,Mar-17,99.7084028,
CHN,BCI,AMPLITUD,LTRENDIDX,M,Apr-17,99.5918269,
CHN,BCI,AMPLITUD,LTRENDIDX,M,May-17,99.56995615,
CHN,BCI,AMPLITUD,LTRENDIDX,M,Jun-17,99.66977492,
CHN,BCI,AMPLITUD,LTRENDIDX,M,Jul-17,99.77211627,
CHN,BCI,AMPLITUD,LTRENDIDX,M,Aug-17,99.94605908,
CHN,BCI,AMPLITUD,LTRENDIDX,M,Sep-17,100.0860572,
CHN,BCI,AMPLITUD,LTRENDIDX,M,Oct-17,99.99852601,
CHN,BCI,AMPLITUD,LTRENDIDX,M,Nov-17,99.86974701,
CHN,BCI,AMPLITUD,LTRENDIDX,M,Dec-17,99.6586531,
CHN,BCI,AMPLITUD,LTRENDIDX,M,Jan-18,99.39929419,
CHN,BCI,AMPLITUD,LTRENDIDX,M,Feb-18,99.23824462,
CHN,BCI,AMPLITUD,LTRENDIDX,M,Mar-18,99.43343258,
CHN,BCI,AMPLITUD,LTRENDIDX,M,Apr-18,99.64675771,
CHN,BCI,AMPLITUD,LTRENDIDX,M,May-18,99.7910215,
CHN,BCI,AMPLITUD,LTRENDIDX,M,Jun-18,99.72975891,
CHN,BCI,AMPLITUD,LTRENDIDX,M,Jul-18,99.56719053,
CHN,BCI,AMPLITUD,LTRENDIDX,M,Aug-18,99.36211241,
CHN,BCI,AMPLITUD,LTRENDIDX,M,Sep-18,99.02993491,
CHN,BCI,AMPLITUD,LTRENDIDX,M,Oct-18,98.63460399,
CHN,BCI,AMPLITUD,LTRENDIDX,M,Nov-18,98.28656274,
CHN,BCI,AMPLITUD,LTRENDIDX,M,Dec-18,98.01702321,
CHN,BCI,AMPLITUD,LTRENDIDX,M,Jan-19,97.95232126,
