LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
CHN,CCI,AMPLITUD,LTRENDIDX,M,Jan-16,97.8091693,
CHN,CCI,AMPLITUD,LTRENDIDX,M,Feb-16,97.5389998,
CHN,CCI,AMPLITUD,LTRENDIDX,M,Mar-16,97.07080791,
CHN,CCI,AMPLITUD,LTRENDIDX,M,Apr-16,96.88815151,
CHN,CCI,AMPLITUD,LTRENDIDX,M,May-16,97.02655927,
CHN,CCI,AMPLITUD,LTRENDIDX,M,Jun-16,97.57947207,
CHN,CCI,AMPLITUD,LTRENDIDX,M,Jul-16,98.17189317,
CHN,CCI,AMPLITUD,LTRENDIDX,M,Aug-16,98.40965922,
CHN,CCI,AMPLITUD,LTRENDIDX,M,Sep-16,98.54783108,
CHN,CCI,AMPLITUD,LTRENDIDX,M,Oct-16,98.86498563,
CHN,CCI,AMPLITUD,LTRENDIDX,M,Nov-16,99.20175881,
CHN,CCI,AMPLITUD,LTRENDIDX,M,Dec-16,99.48423235,
CHN,CCI,AMPLITUD,LTRENDIDX,M,Jan-17,99.83975974,
CHN,CCI,AMPLITUD,LTRENDIDX,M,Feb-17,100.2498357,
CHN,CCI,AMPLITUD,LTRENDIDX,M,Mar-17,100.4531967,
CHN,CCI,AMPLITUD,LTRENDIDX,M,Apr-17,100.6349148,
CHN,CCI,AMPLITUD,LTRENDIDX,M,May-17,100.7057798,
CHN,CCI,AMPLITUD,LTRENDIDX,M,Jun-17,100.8964663,
CHN,CCI,AMPLITUD,LTRENDIDX,M,Jul-17,101.2340687,
CHN,CCI,AMPLITUD,LTRENDIDX,M,Aug-17,101.7716856,
CHN,CCI,AMPLITUD,LTRENDIDX,M,Sep-17,102.6710882,
CHN,CCI,AMPLITUD,LTRENDIDX,M,Oct-17,103.5034607,
CHN,CCI,AMPLITUD,LTRENDIDX,M,Nov-17,103.804781,
CHN,CCI,AMPLITUD,LTRENDIDX,M,Dec-17,103.9568588,
CHN,CCI,AMPLITUD,LTRENDIDX,M,Jan-18,104.0454742,
CHN,CCI,AMPLITUD,LTRENDIDX,M,Feb-18,104.1285707,
CHN,CCI,AMPLITUD,LTRENDIDX,M,Mar-18,104.0506539,
CHN,CCI,AMPLITUD,LTRENDIDX,M,Apr-18,103.9092801,
CHN,CCI,AMPLITUD,LTRENDIDX,M,May-18,103.5833883,
CHN,CCI,AMPLITUD,LTRENDIDX,M,Jun-18,103.0686448,
CHN,CCI,AMPLITUD,LTRENDIDX,M,Jul-18,102.8033352,
CHN,CCI,AMPLITUD,LTRENDIDX,M,Aug-18,102.663668,
CHN,CCI,AMPLITUD,LTRENDIDX,M,Sep-18,102.7140117,
CHN,CCI,AMPLITUD,LTRENDIDX,M,Oct-18,103.023277,
CHN,CCI,AMPLITUD,LTRENDIDX,M,Nov-18,103.5499157,
CHN,CCI,AMPLITUD,LTRENDIDX,M,Dec-18,104.0266271,
