LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
CHN,CLI,AMPLITUD,LTRENDIDX,M,Jan-16,99.57357,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Feb-16,99.6045,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Mar-16,99.69744,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Apr-16,99.81836,
CHN,CLI,AMPLITUD,LTRENDIDX,M,May-16,99.95173,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Jun-16,100.0959,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Jul-16,100.245,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Aug-16,100.3721,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Sep-16,100.4788,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Oct-16,100.5756,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Nov-16,100.6689,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Dec-16,100.7378,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Jan-17,100.7845,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Feb-17,100.8367,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Mar-17,100.8979,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Apr-17,100.9563,
CHN,CLI,AMPLITUD,LTRENDIDX,M,May-17,101.0098,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Jun-17,101.0367,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Jul-17,101.0049,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Aug-17,100.8944,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Sep-17,100.7064,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Oct-17,100.4698,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Nov-17,100.2196,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Dec-17,99.95915,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Jan-18,99.70782,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Feb-18,99.48655,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Mar-18,99.31833,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Apr-18,99.18153,
CHN,CLI,AMPLITUD,LTRENDIDX,M,May-18,99.0566,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Jun-18,98.92503,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Jul-18,98.78657,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Aug-18,98.64637,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Sep-18,98.51843,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Oct-18,98.40771,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Nov-18,98.31968,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Dec-18,98.2515,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Jan-19,98.20844,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Feb-19,98.1857,
CHN,CLI,AMPLITUD,LTRENDIDX,M,Mar-19,98.18216,
