tic,date,close,open,high,low,volume,day
000300.SH,2016-01-04,3469.0662,3725.8561,3726.2446,3468.9485,115370674.0,0
000300.SH,2016-01-05,3478.7797,3382.1769,3518.217,3377.2799,162116984.0,1
000300.SH,2016-01-06,3539.8082,3482.4064,3543.7394,3468.4666,145966144.0,2
000300.SH,2016-01-07,3294.3839,3481.1499,3481.1499,3284.7374,44102641.0,3
000300.SH,2016-01-08,3361.5632,3371.871,3418.8508,3237.9307,185959451.0,4
000300.SH,2016-01-11,3192.4499,3303.1246,3342.4807,3192.4499,174638387.0,0
000300.SH,2016-01-12,3215.7099,3214.8234,3242.2532,3174.5497,128225796.0,1
000300.SH,2016-01-13,3155.8787,3240.4838,3257.2953,3155.8787,120666494.0,2
000300.SH,2016-01-14,3221.5714,3076.6445,3226.6576,3072.0389,134537671.0,3
000300.SH,2016-01-15,3118.7301,3200.888,3216.7977,3101.0522,124601779.0,4
000300.SH,2016-01-18,3130.7289,3068.2348,3165.6164,3066.727,101128386.0,0
000300.SH,2016-01-19,3223.1251,3132.7047,3227.908,3119.2163,127653893.0,1
000300.SH,2016-01-20,3174.3781,3204.2183,3225.9496,3154.4259,130650504.0,2
000300.SH,2016-01-21,3081.3454,3136.3841,3202.5381,3081.3454,111189733.0,3
000300.SH,2016-01-22,3113.4626,3114.895,3132.1708,3053.9581,89951087.0,4
000300.SH,2016-01-25,3128.886,3129.0279,3149.3322,3105.1004,81540061.0,0
000300.SH,2016-01-26,2940.5085,3099.5957,3106.5302,2934.6469,126933921.0,1
000300.SH,2016-01-27,2930.3519,2953.1826,2963.5438,2839.2899,132229366.0,2
000300.SH,2016-01-28,2853.7562,2909.3341,2941.8866,2841.8442,99222756.0,3
000300.SH,2016-01-29,2946.0902,2855.5983,2965.3093,2854.3712,113304259.0,4
000300.SH,2016-02-01,2901.0477,2939.0401,2944.5172,2869.5614,86795342.0,0
000300.SH,2016-02-02,2961.3337,2901.5284,2972.4258,2901.5119,88601963.0,1
000300.SH,2016-02-03,2948.6386,2931.2883,2954.71,2909.8982,77389000.0,2
000300.SH,2016-02-04,2984.7598,2960.3335,2999.2061,2960.2065,91779724.0,3
000300.SH,2016-02-05,2963.7894,2982.0563,2988.3597,2962.8471,76850808.0,4
000300.SH,2016-02-15,2946.7066,2888.4277,2961.4926,2886.0183,72919434.0,0
000300.SH,2016-02-16,3037.0353,2962.1871,3042.0886,2962.1871,112579643.0,1
000300.SH,2016-02-17,3063.3199,3034.0902,3065.7845,3027.0458,128291607.0,2
000300.SH,2016-02-18,3053.6985,3079.5272,3093.5129,3049.8407,124401464.0,3
000300.SH,2016-02-19,3051.585,3047.9417,3065.9677,3032.6336,87338012.0,4
000300.SH,2016-02-22,3118.8675,3083.9325,3128.2069,3071.3289,140946968.0,0
000300.SH,2016-02-23,3089.3632,3117.2027,3119.2209,3061.4294,112567391.0,1
000300.SH,2016-02-24,3109.5454,3077.6062,3109.5454,3055.2511,111782650.0,2
000300.SH,2016-02-25,2918.7501,3104.4097,3104.4357,2905.4565,157829752.0,3
000300.SH,2016-02-26,2948.0306,2942.0954,2964.3851,2902.948,106949729.0,4
000300.SH,2016-02-29,2877.4666,2939.5802,2939.8745,2821.2149,129341020.0,0
000300.SH,2016-03-01,2930.6937,2881.3353,2950.4361,2863.3228,116045918.0,1
000300.SH,2016-03-02,3051.3327,2933.9209,3054.7237,2933.1162,175972347.0,2
000300.SH,2016-03-03,3058.4219,3050.3886,3078.4437,3040.2463,173105744.0,3
000300.SH,2016-03-04,3093.8895,3047.5371,3101.6556,3032.4235,219172534.0,4
000300.SH,2016-03-07,3104.8397,3108.9994,3130.9032,3083.5843,132462037.0,0
000300.SH,2016-03-08,3107.6727,3100.1492,3109.2499,3001.8285,136235742.0,1
000300.SH,2016-03-09,3071.907,3045.9238,3072.9156,3020.1335,111466245.0,2
000300.SH,2016-03-10,3013.1457,3056.2104,3074.1602,3012.6908,76072197.0,3
000300.SH,2016-03-11,3018.2844,2990.2135,3026.4368,2982.1722,73333564.0,4
000300.SH,2016-03-14,3065.6904,3039.5689,3106.8002,3033.9997,117108655.0,0
000300.SH,2016-03-15,3074.7796,3061.3427,3077.0846,3028.5781,98311941.0,1
000300.SH,2016-03-16,3090.0328,3068.8664,3100.3518,3064.5209,124736448.0,2
000300.SH,2016-03-17,3124.2039,3096.8076,3147.8413,3077.5717,121661777.0,3
000300.SH,2016-03-18,3171.963,3136.223,3197.668,3130.102,197302564.0,4
000300.SH,2016-03-21,3249.4372,3203.2929,3267.7751,3198.3608,233269464.0,0
000300.SH,2016-03-22,3225.7903,3231.6146,3249.6772,3218.7276,161020897.0,1
000300.SH,2016-03-23,3236.0924,3217.7288,3242.2466,3202.9759,125679286.0,2
000300.SH,2016-03-24,3181.8507,3211.496,3221.9061,3181.8128,133131122.0,3
000300.SH,2016-03-25,3197.8169,3176.8101,3204.4423,3174.3179,97395330.0,4
000300.SH,2016-03-28,3169.7283,3206.9532,3229.6237,3161.8782,103441933.0,0
000300.SH,2016-03-29,3135.4098,3171.3138,3178.0748,3122.7605,97294747.0,1
000300.SH,2016-03-30,3216.2753,3161.2886,3216.6755,3161.2886,117802512.0,2
000300.SH,2016-03-31,3218.0879,3229.1995,3241.9268,3208.6649,121552074.0,3
000300.SH,2016-04-01,3221.8948,3213.674,3222.6124,3165.8555,118122139.0,4
000300.SH,2016-04-05,3264.4858,3211.3046,3271.9301,3205.2065,146047772.0,1
000300.SH,2016-04-06,3257.5276,3250.5215,3267.64,3236.1961,120196305.0,2
000300.SH,2016-04-07,3209.2902,3266.2883,3270.8202,3208.6443,112409467.0,3
000300.SH,2016-04-08,3185.7258,3189.8456,3197.7736,3163.305,101005625.0,4
000300.SH,2016-04-11,3230.0957,3213.507,3251.5717,3213.507,125212709.0,0
000300.SH,2016-04-12,3218.4497,3227.3673,3232.2642,3198.9027,92869437.0,1
