account_rewards,date
-1149.636999999988,2021-04-09
-354.5570000001462,2021-04-12
2901.585999999894,2021-04-13
-6701.403999999864,2021-04-14
7792.253999999957,2021-04-15
11648.681999999913,2021-04-16
-484.2709999998333,2021-04-19
3576.7879999999423,2021-04-20
3411.3319999999367,2021-04-21
13557.945000000065,2021-04-22
-12712.418000000063,2021-04-23
9107.730999999912,2021-04-26
10287.966000000015,2021-04-27
28192.168999999994,2021-04-28
-12666.23677999992,2021-04-29
-36208.19999999995,2021-04-30
-8958.479999999981,2021-05-06
-7666.540000000037,2021-05-07
16837.150000000023,2021-05-10
7711.639999999898,2021-05-11
-8810.939999999944,2021-05-12
28827.080000000075,2021-05-13
27038.089999999967,2021-05-14
-535.9099999999162,2021-05-17
15461.19999999972,2021-05-18
9688.810000000289,2021-05-19
2161.3199999998324,2021-05-20
24304.92000000016,2021-05-21
44929.25,2021-05-24
-3500.0200000000186,2021-05-25
9419.60999999987,2021-05-26
4619.409999999916,2021-05-27
-5682.779999999795,2021-05-28
35128.71999999997,2021-05-31
-24266.590000000084,2021-06-01
1067.3300000000745,2021-06-02
18894.73999999999,2021-06-03
-468.75,2021-06-04
-23612.090000000084,2021-06-07
9224.780000000028,2021-06-08
33818.320000000065,2021-06-09
-19511.37999999989,2021-06-10
-9561.030000000028,2021-06-11
-39058.75000000023,2021-06-15
32471.64000000013,2021-06-16
6580.9199999999255,2021-06-17
-1870.559999999823,2021-06-18
7016.479999999981,2021-06-21
-12867.340000000084,2021-06-22
17184.969999999972,2021-06-23
27627.800000000047,2021-06-24
21370.179999999935,2021-06-25
-26771.779999999795,2021-06-28
-1650.1700000001583,2021-06-29
-20606.27000000002,2021-06-30
-25661.679999999935,2021-07-01
10196.550000000047,2021-07-02
8778.039999999804,2021-07-05
12313.550000000047,2021-07-06
-33548.65000000014,2021-07-07
-23457.32999999984,2021-07-08
44178.35000000009,2021-07-09
