date,000001.SZ,000725.SZ,000768.SZ,000858.SZ,002008.SZ,002304.SZ,002594.SZ,600016.SH,600036.SH,600104.SH,600111.SH,600660.SH,601601.SH,601628.SH,601788.SH
2022-01-17,0,0,0,0,0,-11,0,-100,0,95,0,0,-100,100,1
2022-01-18,-100,0,95,-100,100,100,-52,-100,0,-12,0,-43,-100,-100,67
2022-01-19,-3,100,53,100,48,-100,-95,68,0,-24,100,-18,-100,-100,100
2022-01-20,0,100,-100,100,86,0,35,100,0,-59,100,-100,-100,-100,100
2022-01-21,0,29,0,96,-100,0,-5,100,0,0,100,-100,-100,-100,100
2022-01-24,0,100,65,47,-8,0,-35,-97,0,0,-100,-13,-100,-84,100
2022-01-25,0,73,-73,100,-81,0,12,64,0,0,-100,-100,-100,-100,100
2022-01-26,0,-9,8,82,72,0,-100,100,0,56,-28,22,-100,-92,100
2022-01-27,0,100,100,62,-7,0,-100,100,0,-56,-9,-100,-100,-100,100
2022-01-28,0,100,-100,-34,96,0,100,100,93,0,100,-67,-100,-100,100
2022-02-07,0,-74,100,100,-100,0,-100,100,-93,30,100,-100,-100,-100,100
2022-02-08,0,-23,-73,100,-100,0,-68,100,0,100,85,13,-100,-100,100
2022-02-09,0,73,48,100,-6,0,7,100,0,-63,100,-100,-100,-100,100
2022-02-10,0,100,100,100,37,0,-100,100,0,-67,25,-100,-100,-100,100
2022-02-11,0,100,-9,63,-33,0,-19,100,0,21,100,-78,-100,6,100
2022-02-14,0,27,-51,84,0,0,-11,100,0,-21,100,-100,-100,-100,100
2022-02-15,0,4,0,72,-4,0,-75,100,0,100,100,-38,-100,0,100
2022-02-16,0,100,100,37,67,0,-54,23,0,-20,38,-80,-100,-100,100
2022-02-17,0,4,0,52,100,0,0,100,0,100,-48,-100,-100,-100,100
2022-02-18,0,23,-4,100,100,0,-96,100,0,0,31,-80,-100,-56,100
2022-02-21,0,25,0,85,0,0,-17,-78,0,0,0,-100,-100,-100,100
2022-02-22,0,7,0,0,0,0,44,100,0,-59,-20,-100,-100,-100,100
2022-02-23,0,24,0,97,-100,0,-44,100,0,-59,100,-65,-100,-100,100
2022-02-24,0,18,-100,43,0,0,0,0,0,-62,100,-100,-100,-100,100
2022-02-25,0,-100,-100,63,0,0,0,100,0,0,-100,2,-100,-100,100
2022-02-28,0,-10,0,15,0,0,0,11,0,0,0,-100,-100,100,100
2022-03-01,0,31,0,56,-55,0,0,100,0,0,0,-100,-100,-100,100
2022-03-02,0,0,-30,0,12,0,0,100,0,0,100,-12,-100,-100,100
2022-03-03,0,-1,-29,11,100,0,0,100,0,1,0,-100,-100,-31,100
2022-03-04,0,80,100,-19,-100,0,0,55,0,100,100,-100,-100,22,100
2022-03-07,0,100,-2,11,100,0,0,100,0,-100,100,-100,-100,-57,100
2022-03-08,0,25,-98,71,-100,0,0,0,0,100,0,-100,-100,-59,100
2022-03-09,0,0,0,83,-100,0,0,16,0,-20,-35,-100,-100,-100,100
2022-03-10,0,0,0,19,0,0,0,1,0,6,100,-100,-100,-100,100
2022-03-11,0,30,0,5,100,0,0,100,0,100,-16,-82,-100,-100,100
2022-03-14,0,13,0,47,0,0,0,100,0,-100,0,-100,-100,-69,100
2022-03-15,0,7,0,29,-77,0,0,100,0,0,100,-100,-100,-60,100
2022-03-16,0,0,70,32,-36,0,0,100,0,0,-7,-100,-68,-82,100
2022-03-17,0,3,2,7,-11,0,0,100,0,-15,100,-100,0,-100,100
2022-03-18,0,-100,3,8,0,0,0,1,0,-72,0,0,0,-39,100
2022-03-21,0,19,-30,0,0,0,0,100,0,0,0,-24,0,0,100
2022-03-22,0,0,0,0,0,0,0,4,0,75,0,0,0,-100,100
2022-03-23,0,0,-45,0,0,0,0,10,0,-75,32,0,0,0,100
2022-03-24,0,30,0,5,0,0,0,100,0,0,0,0,0,-100,100
2022-03-25,0,0,0,0,0,0,0,4,0,0,32,0,0,-100,100
2022-03-28,0,3,0,0,0,0,0,100,0,0,-17,0,0,-38,100
2022-03-29,0,-27,28,-81,0,0,0,84,0,0,100,0,0,-100,100
2022-03-30,0,2,-28,16,0,0,0,100,0,8,100,100,0,-100,100
2022-03-31,0,100,100,-20,0,0,0,100,0,-7,70,-100,0,-82,100
2022-04-01,0,0,-39,0,0,0,0,3,0,-1,85,0,0,-81,100
2022-04-06,0,100,0,0,3,0,0,100,0,1,0,0,0,-82,100
2022-04-07,0,-48,0,22,3,0,0,100,0,-1,-63,0,0,-100,100
2022-04-08,0,0,-8,0,-6,0,0,2,0,0,0,0,0,-1,35
2022-04-11,0,0,0,-10,0,0,0,0,0,1,14,0,0,-8,100
2022-04-12,0,7,0,-30,17,0,0,100,0,0,100,0,0,-36,100
2022-04-13,0,100,-53,-9,-17,0,0,39,0,-1,-27,0,0,-100,100
2022-04-14,0,24,0,17,0,0,0,0,0,0,100,0,0,-100,100
2022-04-15,0,1,0,6,0,0,0,100,0,0,0,0,0,-100,100
2022-04-18,0,5,4,11,0,0,0,100,0,0,-28,0,0,-100,100
2022-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-20,0,3,-4,0,0,0,0,1,0,0,43,0,0,-100,100
2022-04-21,0,0,0,0,0,0,0,6,0,0,22,0,0,-74,100
