account_rewards,date
-73268.97400000016,2021-07-13
-4256.079000000143,2021-07-14
-36274.433000000194,2021-07-15
3791.4810000001453,2021-07-16
6719.448000000091,2021-07-19
45020.29700000002,2021-07-20
21660.34400000004,2021-07-21
10493.085999999894,2021-07-22
-32188.72900000005,2021-07-23
-34944.351000000024,2021-07-26
-3852.277000000002,2021-07-27
60264.205000000075,2021-07-28
20404.41899999976,2021-07-29
64468.86900000018,2021-07-30
-29576.71200000029,2021-08-02
59100.79700000025,2021-08-03
-10075.837999999989,2021-08-04
2240.4230000001844,2021-08-05
-9001.269000000088,2021-08-06
-8263.945000000065,2021-08-09
-191.9470000001602,2021-08-10
-2615.2259999997914,2021-08-11
-8980.168000000063,2021-08-12
-28029.23999999999,2021-08-13
-22700.419999999925,2021-08-16
7846.976000000024,2021-08-17
6109.541000000201,2021-08-18
-3682.529000000097,2021-08-19
34165.485100000165,2021-08-20
1959.1349999997765,2021-08-23
-7294.47499999986,2021-08-24
-8160.195999999996,2021-08-25
5565.696999999927,2021-08-26
34875.32899999991,2021-08-27
31278.391999999993,2021-08-30
-18473.097999999998,2021-08-31
9481.375000000233,2021-09-01
-37870.18200000003,2021-09-02
18742.13400000008,2021-09-03
38323.82700000005,2021-09-06
-14388.858000000007,2021-09-07
33693.94999999995,2021-09-08
14061.868000000017,2021-09-09
-22180.722999999998,2021-09-10
-6176.775999999838,2021-09-13
-17483.637000000104,2021-09-14
-35641.888000000035,2021-09-15
-37034.58199999994,2021-09-16
-9896.42200000002,2021-09-17
28750.080000000075,2021-09-22
-13478.108000000007,2021-09-23
-44628.66200000001,2021-09-24
-3449.4240000001155,2021-09-27
-54446.939999999944,2021-09-28
19126.034000000218,2021-09-29
21778.54423999996,2021-09-30
31670.509999999776,2021-10-08
-26354.399999999907,2021-10-11
26785.64000000013,2021-10-12
6319.869999999879,2021-10-13
6703.459999999963,2021-10-14
270.9199999999255,2021-10-15
