date,000001.SZ,000725.SZ,000768.SZ,000858.SZ,002008.SZ,002304.SZ,002594.SZ,600016.SH,600036.SH,600104.SH,600111.SH,600660.SH,601601.SH,601628.SH,601788.SH
2022-01-17,47,100,100,0,100,-100,0,0,100,100,-100,100,-100,100,-100
2022-01-18,71,100,100,0,100,-100,0,0,100,100,-100,100,-100,100,-100
2022-01-19,89,100,100,0,100,-100,0,0,100,100,-100,100,-100,100,-100
2022-01-20,0,4,47,0,100,-80,0,0,100,100,-100,100,-100,100,-100
2022-01-21,0,3,0,0,0,0,0,0,0,21,-100,100,-100,100,-100
2022-01-24,0,3,0,0,0,0,0,0,0,25,-100,100,-100,100,-100
2022-01-25,0,2,0,0,0,0,0,0,0,21,-100,100,-100,100,-100
2022-01-26,0,1,0,0,0,0,0,0,0,15,-100,100,-100,100,-100
2022-01-27,0,1,0,0,0,0,0,0,0,11,-100,100,-100,100,-100
2022-01-28,0,0,0,0,0,0,0,0,0,10,-100,100,-100,100,-100
2022-02-07,0,3,0,0,0,0,0,0,0,26,-100,100,-100,100,-100
2022-02-08,0,2,0,0,0,0,0,0,0,31,-100,100,-100,100,-100
2022-02-09,0,0,0,0,0,0,0,0,0,35,-100,100,-100,100,-100
2022-02-10,0,1,0,0,0,0,0,0,0,37,-100,100,-100,100,-100
2022-02-11,0,2,0,0,0,0,0,0,0,37,-100,100,-100,100,-100
2022-02-14,0,3,0,0,0,0,0,0,0,46,-100,100,-100,100,-100
2022-02-15,0,2,0,0,0,0,0,0,0,49,-100,100,-100,100,-100
2022-02-16,0,1,0,0,0,0,0,0,0,54,-100,100,-100,100,-100
2022-02-17,0,0,0,0,0,0,0,0,0,64,-100,100,-100,100,-100
2022-02-18,0,2,0,0,0,0,0,0,0,64,-100,100,-100,100,-100
2022-02-21,0,1,0,0,0,0,0,0,0,65,-100,100,-100,100,-100
2022-02-22,0,0,0,0,0,0,0,0,0,70,-100,100,-100,100,-100
2022-02-23,0,3,0,0,0,0,0,0,0,0,0,6,-69,100,-100
2022-02-24,0,1,0,0,0,0,0,0,0,0,0,0,0,46,-100
2022-02-25,0,2,0,0,0,0,0,0,0,0,0,0,0,46,-100
2022-02-28,0,1,0,0,0,0,0,0,0,0,0,0,0,46,-100
2022-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,46,-100
2022-03-02,0,3,0,0,0,0,0,0,0,0,0,0,0,46,-100
2022-03-03,0,0,0,0,0,0,0,0,0,1,0,0,0,46,-100
2022-03-04,0,1,0,0,0,0,0,0,0,0,0,0,0,46,-100
2022-03-07,0,0,0,0,0,0,0,0,0,1,0,0,0,46,-100
2022-03-08,0,2,0,0,0,0,0,0,0,0,0,0,0,47,-100
2022-03-09,0,4,0,0,0,0,0,0,0,0,0,0,0,47,-100
2022-03-10,0,0,0,0,0,0,0,0,0,1,0,0,0,46,-100
2022-03-11,0,3,0,0,0,0,0,0,0,0,0,0,0,48,-100
2022-03-14,0,2,0,0,0,0,0,0,0,0,0,0,0,49,-100
2022-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,51,-100
2022-03-16,0,0,0,0,0,0,0,0,0,1,0,0,0,51,-100
2022-03-17,0,0,0,0,0,0,0,0,0,1,0,0,0,49,-100
2022-03-18,0,2,0,0,0,0,0,0,0,0,0,0,0,48,-100
2022-03-21,0,1,0,0,0,0,0,0,0,1,0,0,0,48,-100
2022-03-22,0,1,0,0,0,0,0,0,0,1,0,0,0,48,-100
2022-03-23,0,0,0,0,0,0,0,0,0,1,0,0,0,48,-100
2022-03-24,0,2,0,0,0,0,0,0,0,0,0,0,0,48,-100
2022-03-25,0,2,0,0,0,0,0,0,0,0,0,0,0,48,-100
2022-03-28,0,3,0,0,0,0,0,0,0,0,0,0,0,48,-100
2022-03-29,0,0,0,0,0,0,0,0,0,1,0,0,0,48,-100
2022-03-30,0,0,0,0,0,0,0,0,0,0,0,0,0,48,-100
2022-03-31,0,3,0,0,0,0,0,0,0,0,0,0,0,47,-100
2022-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,47,-100
2022-04-06,0,1,0,0,0,0,0,0,0,1,0,0,0,46,-100
2022-04-07,0,1,0,0,0,0,0,0,0,1,0,0,0,46,-100
2022-04-08,0,2,0,0,0,0,0,0,0,0,0,0,0,46,-100
2022-04-11,0,0,0,0,0,0,0,0,0,1,0,0,0,46,-100
2022-04-12,0,0,0,0,0,0,0,0,0,1,0,0,0,47,-100
2022-04-13,0,1,0,0,0,0,0,0,0,0,0,0,0,47,-100
2022-04-14,0,1,0,0,0,0,0,0,0,1,0,0,0,47,-100
2022-04-15,0,3,0,0,0,0,0,0,0,0,0,0,0,47,-100
2022-04-18,0,2,0,0,0,0,0,0,0,0,0,0,0,47,-100
2022-04-19,0,3,0,0,0,0,0,0,0,0,0,0,0,47,-100
2022-04-20,0,2,0,0,0,0,0,0,0,0,0,0,0,46,-100
2022-04-21,0,2,0,0,0,0,0,0,0,0,0,0,0,45,-100
