account_rewards,date
-16656.314209999982,2021-07-13
8309.133999999962,2021-07-14
-25551.070889999974,2021-07-15
35970.81276,2021-07-16
13111.213960000081,2021-07-19
-24327.65577000007,2021-07-20
-3611.9417799999937,2021-07-21
-10723.842519999947,2021-07-22
-41264.79065999994,2021-07-23
-29591.93726000015,2021-07-26
-4354.527099999832,2021-07-27
16474.538639999926,2021-07-28
-41210.44848000014,2021-07-29
7133.670320000034,2021-07-30
40878.66879999987,2021-08-02
8918.640770000056,2021-08-03
1328.012340000132,2021-08-04
-10620.364620000124,2021-08-05
27673.886270000134,2021-08-06
16649.98265999998,2021-08-09
-23234.028380000032,2021-08-10
-15388.898799999966,2021-08-11
10835.533469999908,2021-08-12
9279.337950000074,2021-08-13
-50178.90839,2021-08-16
-23089.126769999973,2021-08-17
-1723.194920000038,2021-08-18
-22619.246859999956,2021-08-19
14593.915259999922,2021-08-20
20148.63316999993,2021-08-23
17194.065110000083,2021-08-24
-5299.627139999997,2021-08-25
-13311.56276999996,2021-08-26
-7651.663449999993,2021-08-27
-31037.32143000001,2021-08-30
31212.241579999914,2021-08-31
-22626.725219999906,2021-09-01
21470.662329999963,2021-09-02
22710.868690000032,2021-09-03
18554.56183000002,2021-09-06
48.19336999999359,2021-09-07
-14509.358639999991,2021-09-08
28360.592240000027,2021-09-09
-12816.506649999996,2021-09-10
-15306.814840000006,2021-09-13
-37691.51616,2021-09-14
18516.88134000008,2021-09-15
24163.525559999864,2021-09-16
-35270.70099000004,2021-09-17
-8719.259969999897,2021-09-22
35940.179929999984,2021-09-23
27123.350340000005,2021-09-24
-7821.390810000012,2021-09-27
-9077.262359999935,2021-09-28
27743.8031299999,2021-09-29
33419.3661000001,2021-09-30
-21276.635740000056,2021-10-08
10832.46744999988,2021-10-11
34498.25780000014,2021-10-12
-15826.397140000132,2021-10-13
-12060.008529999759,2021-10-14
-31520.174240000197,2021-10-15
