date,000069.SZ,002007.SZ,002241.SZ,600031.SH,600085.SH,600519.SH,600585.SH,601186.SH,601225.SH,601318.SH,601328.SH,601398.SH,601668.SH,601800.SH,601888.SH
2021-10-19,99,-100,0,-26,0,0,27,-100,0,0,100,-100,2,100,7
2021-10-20,93,-58,0,-38,0,0,-27,100,100,0,18,-100,100,100,0
2021-10-21,-100,-27,0,100,0,0,100,-27,-88,0,47,34,93,-45,-70
2021-10-22,-75,-14,0,0,0,0,0,-38,-12,0,-7,-84,43,0,59
2021-10-25,-39,0,5,-49,0,0,0,1,100,0,-80,-100,-39,-96,6
2021-10-26,-100,-100,-5,-61,0,0,100,0,85,0,100,33,0,-59,0
2021-10-27,50,-16,62,33,0,4,-86,-82,22,100,100,-35,100,100,-55
2021-10-28,-61,26,100,35,0,-4,-22,100,-100,-100,100,100,-69,-100,-20
2021-10-29,0,-22,0,-70,0,0,-54,0,-100,0,-72,7,-100,0,77
2021-11-01,0,0,0,0,1,0,-38,-56,-7,80,-7,100,-27,0,-10
2021-11-02,0,0,100,-100,0,0,0,100,0,-59,0,-8,0,0,0
2021-11-03,50,100,66,-40,100,0,0,-42,68,-21,-35,39,-100,0,-100
2021-11-04,-100,-33,-100,-32,0,0,0,-51,-68,0,38,-11,0,0,98
2021-11-05,-74,0,-4,0,0,0,22,1,0,0,-37,-5,-4,0,0
2021-11-08,-100,-71,-100,-100,-17,6,-22,4,0,0,60,-9,0,0,0
2021-11-09,100,100,-100,-59,25,-6,100,-9,22,35,29,-65,97,100,25
2021-11-10,1,-100,0,1,0,0,64,-25,100,0,-21,0,-41,-13,0
2021-11-11,0,0,0,-30,0,0,-9,-22,-100,0,0,18,0,0,10
2021-11-12,86,0,-24,-45,-10,16,-100,100,100,-35,0,-100,0,0,-100
2021-11-15,-8,76,100,-64,-99,-16,-55,96,-42,100,-87,-100,100,5,-100
2021-11-16,24,-76,53,-11,77,0,0,-100,-51,100,74,-97,-98,62,6
2021-11-17,53,84,69,100,19,2,0,52,93,77,-26,72,100,-65,21
2021-11-18,28,-40,0,68,20,-2,100,79,-16,100,100,-100,-24,-89,-32
2021-11-19,-78,34,-60,37,83,0,35,50,50,100,33,42,21,100,-100
2021-11-22,76,0,39,16,-47,29,-100,100,-81,-15,43,71,100,-19,-100
2021-11-23,0,-59,-100,-84,17,10,-35,100,1,100,-76,-100,73,-19,-65
2021-11-24,-38,68,-100,-22,91,-39,36,100,-76,-100,9,-61,97,100,-100
2021-11-25,89,-81,-1,-100,0,54,100,-23,0,-52,-100,0,-76,-29,0
2021-11-26,-63,0,0,62,-100,4,-100,-100,0,0,100,0,3,-19,-5
2021-11-29,0,-6,0,56,0,0,100,0,100,-100,-16,0,-53,-100,0
2021-11-30,-65,0,0,63,-7,0,100,-59,0,0,-100,0,-65,-14,-15
2021-12-01,-100,0,0,17,90,-58,83,-59,100,-100,-71,42,9,100,100
2021-12-02,0,0,0,80,-34,52,0,0,-80,-77,100,-42,0,100,-42
2021-12-03,-100,100,0,-100,-100,-4,-42,1,-92,22,17,0,79,-76,52
2021-12-06,-66,16,0,-77,40,12,100,80,-28,-86,-91,0,65,100,-100
2021-12-07,0,-100,0,0,52,0,0,1,100,0,-100,100,100,-18,-4
2021-12-08,65,45,60,-22,100,-47,-1,31,60,-12,44,-69,-28,9,35
2021-12-09,63,-16,19,100,-80,-13,-100,-20,100,-57,100,95,-15,-100,80
2021-12-10,13,-35,85,100,59,32,100,100,-69,0,71,88,100,32,52
2021-12-13,90,100,-100,-19,81,9,0,74,21,0,-55,98,-32,28,-89
2021-12-14,-15,100,89,-48,88,-41,-15,-13,-100,100,20,-39,-100,-49,15
2021-12-15,-66,-30,-21,100,-32,0,-100,100,-100,-15,-100,75,-100,69,-73
2021-12-16,6,100,-78,100,27,0,-33,-48,23,-85,100,19,100,100,72
2021-12-17,-69,100,100,-100,32,0,100,100,100,6,-35,-36,-28,100,-99
2021-12-20,14,-61,-4,-100,46,49,100,36,100,-6,100,-63,-100,-14,-82
2021-12-21,70,52,100,-30,-100,-49,77,-100,100,23,30,100,58,-26,-46
2021-12-22,100,76,100,-39,-19,44,100,-88,36,-23,23,-77,13,-100,-91
2021-12-23,94,100,-97,6,83,-38,94,24,13,0,100,50,72,-100,100
2021-12-24,-65,-14,-100,-69,100,-6,-39,100,-70,0,100,-43,-86,-12,31
2021-12-27,19,57,71,-62,0,0,89,100,-100,0,-100,21,100,-14,-64
2021-12-28,93,-100,-100,0,44,0,100,100,-100,0,100,-28,100,-100,-28
2021-12-29,74,-66,-14,-66,15,10,15,-100,100,41,-57,33,100,6,21
2021-12-30,39,-100,91,-48,100,-7,-44,-3,0,-41,-73,78,-100,75,-7
2021-12-31,3,-18,-88,0,1,52,100,0,0,100,100,0,1,0,-70
2022-01-04,100,0,-100,13,-16,0,0,-55,0,100,100,-10,-100,100,0
2022-01-05,-100,-76,22,-42,-27,-55,-49,-100,19,-100,100,-95,100,-46,-88
2022-01-06,100,-100,-35,73,98,0,55,17,31,-100,-10,-38,-100,100,-18
2022-01-07,-47,-20,94,100,-61,0,-42,63,-100,0,3,100,-100,-100,91
2022-01-10,100,-98,14,69,-43,0,-37,-46,-41,0,71,88,100,38,-59
2022-01-11,-70,100,-35,-90,-25,71,-32,-100,19,100,-71,45,73,-69,-100
2022-01-12,-100,100,100,-30,5,-15,2,37,-100,-34,74,-45,-100,20,100
2022-01-13,-38,-13,0,-92,0,15,100,-100,-42,35,2,-94,0,81,-13
